member,member_name,expression,augmentation,hist_0,hist_1,hist_2,hist_3,hist_4,hist_5,hist_6,hist_7,hist_8,hist_9,hist_10,hist_11,hist_12,hist_13,hist_14,hist_15,hist_16,hist_17,hist_18,hist_19,hist_20,hist_21,hist_22,hist_23,hist_24,hist_25,hist_26,hist_27,hist_28,hist_29,hist_30,hist_31,hist_32,hist_33,hist_34,hist_35,hist_36,hist_37,hist_38,hist_39,hist_40,hist_41,hist_42,hist_43,hist_44,hist_45,hist_46,hist_47,stat_0,stat_1,stat_2,stat_3,stat_4,stat_5
member_1,Winston,surprised,Flipped (H),0.0001220703125,0.00152587890625,0.00567626953125,0.0067138671875,0.01849365234375,0.02032470703125,0.04248046875,0.07318115234375,0.08056640625,0.07464599609375,0.06689453125,0.06707763671875,0.0555419921875,0.23828125,0.24755859375,0.00091552734375,0.0076904296875,0.0126953125,0.025146484375,0.04388427734375,0.06585693359375,0.04473876953125,0.0382080078125,0.0457763671875,0.0576171875,0.06109619140625,0.06048583984375,0.10125732421875,0.3250732421875,0.10894775390625,0.00152587890625,0.0,0.01617431640625,0.027587890625,0.0572509765625,0.060791015625,0.0419921875,0.02398681640625,0.03680419921875,0.05126953125,0.0556640625,0.1177978515625,0.38616943359375,0.09881591796875,0.0159912109375,0.00537109375,0.0032958984375,0.00103759765625,182.65088,48.479637,155.82404,55.415836,135.052,50.949318
member_1,Winston,surprised,Grayscale,0.00372314453125,0.00714111328125,0.0181884765625,0.02313232421875,0.051513671875,0.06658935546875,0.04656982421875,0.049072265625,0.05743408203125,0.060302734375,0.0638427734375,0.07403564453125,0.30975341796875,0.165771484375,0.0029296875,0.0,0.00372314453125,0.00714111328125,0.0181884765625,0.02313232421875,0.051513671875,0.06658935546875,0.04656982421875,0.049072265625,0.05743408203125,0.060302734375,0.0638427734375,0.07403564453125,0.30975341796875,0.165771484375,0.0029296875,0.0,0.00372314453125,0.00714111328125,0.0181884765625,0.02313232421875,0.051513671875,0.06658935546875,0.04656982421875,0.049072265625,0.05743408203125,0.060302734375,0.0638427734375,0.07403564453125,0.30975341796875,0.165771484375,0.0029296875,0.0,161.4325,52.439236,161.4325,52.439236,161.4325,52.439236
member_2,Miracle,neutral,original,0.0,0.0062255859375,0.01348876953125,0.030517578125,0.05340576171875,0.09033203125,0.11090087890625,0.142822265625,0.13873291015625,0.092041015625,0.06634521484375,0.04852294921875,0.0335693359375,0.03521728515625,0.02923583984375,0.108642578125,0.0,0.009521484375,0.0185546875,0.0604248046875,0.13751220703125,0.184326171875,0.12646484375,0.10302734375,0.07958984375,0.04931640625,0.0350341796875,0.0340576171875,0.02520751953125,0.02325439453125,0.025634765625,0.08807373046875,6.103515625e-05,0.01513671875,0.02886962890625,0.07025146484375,0.17803955078125,0.21417236328125,0.13323974609375,0.0777587890625,0.0673828125,0.0462646484375,0.0411376953125,0.03387451171875,0.0361328125,0.04498291015625,0.00860595703125,0.00408935546875,143.87634,56.61824,124.04974,59.390984,108.92847,47.702976
member_2,Miracle,neutral,Rotated (+15),0.0,0.00579833984375,0.0128173828125,0.0306396484375,0.04248046875,0.072509765625,0.0882568359375,0.13067626953125,0.22711181640625,0.08612060546875,0.06158447265625,0.0462646484375,0.03216552734375,0.03265380859375,0.0274658203125,0.10345458984375,0.0,0.009033203125,0.01763916015625,0.05438232421875,0.1109619140625,0.1627197265625,0.1177978515625,0.08837890625,0.1746826171875,0.04595947265625,0.032470703125,0.03143310546875,0.0247802734375,0.02252197265625,0.0230712890625,0.08416748046875,0.0,0.01434326171875,0.02801513671875,0.06298828125,0.14666748046875,0.189453125,0.1197509765625,0.06951904296875,0.16485595703125,0.0438232421875,0.039306640625,0.03106689453125,0.0335693359375,0.04376220703125,0.00885009765625,0.0040283203125,144.25476,54.46023,126.225525,57.064083,112.246765,46.382088
member_2,Miracle,neutral,Flipped (H),0.0,0.0062255859375,0.01348876953125,0.030517578125,0.05340576171875,0.09033203125,0.11090087890625,0.142822265625,0.13873291015625,0.092041015625,0.06634521484375,0.04852294921875,0.0335693359375,0.03521728515625,0.02923583984375,0.108642578125,0.0,0.009521484375,0.0185546875,0.0604248046875,0.13751220703125,0.184326171875,0.12646484375,0.10302734375,0.07958984375,0.04931640625,0.0350341796875,0.0340576171875,0.02520751953125,0.02325439453125,0.025634765625,0.08807373046875,6.103515625e-05,0.01513671875,0.02886962890625,0.07025146484375,0.17803955078125,0.21417236328125,0.13323974609375,0.0777587890625,0.0673828125,0.0462646484375,0.0411376953125,0.03387451171875,0.0361328125,0.04498291015625,0.00860595703125,0.00408935546875,143.87634,56.61824,124.04974,59.390984,108.92847,47.702976
member_2,Miracle,neutral,Grayscale,0.0,0.009033203125,0.01617431640625,0.0494384765625,0.1087646484375,0.14776611328125,0.1600341796875,0.11456298828125,0.091796875,0.05908203125,0.0411376953125,0.03753662109375,0.02655029296875,0.02630615234375,0.0289306640625,0.0828857421875,0.0,0.009033203125,0.01617431640625,0.0494384765625,0.1087646484375,0.14776611328125,0.1600341796875,0.11456298828125,0.091796875,0.05908203125,0.0411376953125,0.03753662109375,0.02655029296875,0.02630615234375,0.0289306640625,0.0828857421875,0.0,0.009033203125,0.01617431640625,0.0494384765625,0.1087646484375,0.14776611328125,0.1600341796875,0.11456298828125,0.091796875,0.05908203125,0.0411376953125,0.03753662109375,0.02655029296875,0.02630615234375,0.0289306640625,0.0828857421875,128.26147,56.830467,128.26147,56.830467,128.26147,56.830467
member_2,Miracle,smiling,original,0.0,0.01617431640625,0.0341796875,0.05682373046875,0.0609130859375,0.06170654296875,0.095703125,0.1585693359375,0.12567138671875,0.0850830078125,0.0634765625,0.0439453125,0.05560302734375,0.03253173828125,0.026611328125,0.0830078125,0.0,0.02178955078125,0.04571533203125,0.0843505859375,0.08758544921875,0.1785888671875,0.15093994140625,0.08905029296875,0.07171630859375,0.04522705078125,0.04461669921875,0.03759765625,0.02880859375,0.02313232421875,0.02117919921875,0.0697021484375,0.00048828125,0.0322265625,0.06292724609375,0.10235595703125,0.099609375,0.177734375,0.14666748046875,0.10162353515625,0.07647705078125,0.04486083984375,0.03582763671875,0.03826904296875,0.02703857421875,0.0389404296875,0.00872802734375,0.0062255859375,137.27625,58.21217,119.321045,58.85073,106.5614,49.41951
member_2,Miracle,smiling,Rotated (+15),0.0,0.01611328125,0.03411865234375,0.04913330078125,0.04925537109375,0.050537109375,0.083740234375,0.14892578125,0.21685791015625,0.07659912109375,0.05633544921875,0.03619384765625,0.048095703125,0.02972412109375,0.0250244140625,0.079345703125,0.0,0.02178955078125,0.041259765625,0.0706787109375,0.07183837890625,0.16796875,0.14288330078125,0.08001708984375,0.1630859375,0.038330078125,0.0367431640625,0.03179931640625,0.02593994140625,0.020751953125,0.01898193359375,0.06793212890625,0.00048828125,0.03240966796875,0.05865478515625,0.08465576171875,0.08306884765625,0.16143798828125,0.1357421875,0.0894775390625,0.165771484375,0.03924560546875,0.0338134765625,0.0357666015625,0.0257568359375,0.038818359375,0.00860595703125,0.00628662109375,136.9541,55.889763,120.57269,56.46428,109.63342,48.276203
member_2,Miracle,smiling,Flipped (H),0.0,0.01617431640625,0.0341796875,0.05682373046875,0.0609130859375,0.06170654296875,0.095703125,0.1585693359375,0.12567138671875,0.0850830078125,0.0634765625,0.0439453125,0.05560302734375,0.03253173828125,0.026611328125,0.0830078125,0.0,0.02178955078125,0.04571533203125,0.0843505859375,0.08758544921875,0.1785888671875,0.15093994140625,0.08905029296875,0.07171630859375,0.04522705078125,0.04461669921875,0.03759765625,0.02880859375,0.02313232421875,0.02117919921875,0.0697021484375,0.00048828125,0.0322265625,0.06292724609375,0.10235595703125,0.099609375,0.177734375,0.14666748046875,0.10162353515625,0.07647705078125,0.04486083984375,0.03582763671875,0.03826904296875,0.02703857421875,0.0389404296875,0.00872802734375,0.0062255859375,137.27625,58.21217,119.321045,58.85073,106.5614,49.41951
member_2,Miracle,smiling,Grayscale,0.0,0.02069091796875,0.04168701171875,0.075439453125,0.07763671875,0.114501953125,0.184814453125,0.10980224609375,0.085205078125,0.054931640625,0.04638671875,0.04400634765625,0.0313720703125,0.025146484375,0.02447509765625,0.06390380859375,0.0,0.02069091796875,0.04168701171875,0.075439453125,0.07763671875,0.114501953125,0.184814453125,0.10980224609375,0.085205078125,0.054931640625,0.04638671875,0.04400634765625,0.0313720703125,0.025146484375,0.02447509765625,0.06390380859375,0.0,0.02069091796875,0.04168701171875,0.075439453125,0.07763671875,0.114501953125,0.184814453125,0.10980224609375,0.085205078125,0.054931640625,0.04638671875,0.04400634765625,0.0313720703125,0.025146484375,0.02447509765625,0.06390380859375,123.23901,57.11912,123.23901,57.11912,123.23901,57.11912
member_2,Miracle,surprised,original,0.0,0.005615234375,0.0341796875,0.049072265625,0.055419921875,0.057861328125,0.0579833984375,0.140380859375,0.12249755859375,0.08941650390625,0.0880126953125,0.052001953125,0.0518798828125,0.04815673828125,0.02899169921875,0.1185302734375,0.0,0.00848388671875,0.03936767578125,0.0662841796875,0.07763671875,0.09210205078125,0.16827392578125,0.09844970703125,0.08831787109375,0.06939697265625,0.0572509765625,0.043212890625,0.03424072265625,0.027587890625,0.0238037109375,0.1055908203125,0.0,0.01422119140625,0.0426025390625,0.08990478515625,0.07708740234375,0.101318359375,0.1651611328125,0.10888671875,0.0977783203125,0.08477783203125,0.050048828125,0.0406494140625,0.03802490234375,0.04443359375,0.02655029296875,0.0185546875,147.85657,60.15397,133.15466,61.305817,121.35626,52.524998
member_2,Miracle,surprised,Rotated (+15),0.0,0.005615234375,0.03411865234375,0.04913330078125,0.0552978515625,0.052978515625,0.04608154296875,0.11322021484375,0.21051025390625,0.0789794921875,0.0797119140625,0.046142578125,0.048583984375,0.04669189453125,0.02630615234375,0.10662841796875,0.0,0.0086669921875,0.0391845703125,0.066162109375,0.07269287109375,0.0738525390625,0.1488037109375,0.08544921875,0.17999267578125,0.0599365234375,0.050537109375,0.040771484375,0.03240966796875,0.0252685546875,0.021240234375,0.09503173828125,0.0,0.0142822265625,0.04217529296875,0.08929443359375,0.072509765625,0.08636474609375,0.1348876953125,0.09210205078125,0.1893310546875,0.07965087890625,0.046142578125,0.03765869140625,0.0345458984375,0.0406494140625,0.0223388671875,0.01806640625,145.47504,58.460278,132.1612,58.917004,121.62463,50.815845
member_2,Miracle,surprised,Flipped (H),0.0,0.005615234375,0.0341796875,0.049072265625,0.055419921875,0.057861328125,0.0579833984375,0.140380859375,0.12249755859375,0.08941650390625,0.0880126953125,0.052001953125,0.0518798828125,0.04815673828125,0.02899169921875,0.1185302734375,0.0,0.00848388671875,0.03936767578125,0.0662841796875,0.07763671875,0.09210205078125,0.16827392578125,0.09844970703125,0.08831787109375,0.06939697265625,0.0572509765625,0.043212890625,0.03424072265625,0.027587890625,0.0238037109375,0.1055908203125,0.0,0.01422119140625,0.0426025390625,0.08990478515625,0.07708740234375,0.101318359375,0.1651611328125,0.10888671875,0.0977783203125,0.08477783203125,0.050048828125,0.0406494140625,0.03802490234375,0.04443359375,0.02655029296875,0.0185546875,147.85657,60.15397,133.15466,61.305817,121.35626,52.524998
member_2,Miracle,surprised,Grayscale,0.0,0.00775146484375,0.0377197265625,0.06134033203125,0.07159423828125,0.06536865234375,0.1484375,0.12646484375,0.085205078125,0.08990478515625,0.06201171875,0.049560546875,0.04144287109375,0.02630615234375,0.028564453125,0.09832763671875,0.0,0.00775146484375,0.0377197265625,0.06134033203125,0.07159423828125,0.06536865234375,0.1484375,0.12646484375,0.085205078125,0.08990478515625,0.06201171875,0.049560546875,0.04144287109375,0.02630615234375,0.028564453125,0.09832763671875,0.0,0.00775146484375,0.0377197265625,0.06134033203125,0.07159423828125,0.06536865234375,0.1484375,0.12646484375,0.085205078125,0.08990478515625,0.06201171875,0.049560546875,0.04144287109375,0.02630615234375,0.028564453125,0.09832763671875,136.2024,59.46999,136.2024,59.46999,136.2024,59.46999
member_3,Mahe,neutral,original,0.21917724609375,0.0748291015625,0.0126953125,0.0130615234375,0.02569580078125,0.0548095703125,0.062744140625,0.03033447265625,0.02203369140625,0.01263427734375,0.00335693359375,0.002685546875,0.0020751953125,0.0015869140625,0.0023193359375,0.4599609375,0.0321044921875,0.26153564453125,0.02618408203125,0.0469970703125,0.068603515625,0.04168701171875,0.02606201171875,0.02203369140625,0.0040283203125,0.0023193359375,0.00128173828125,0.00152587890625,0.0015869140625,0.00177001953125,0.00225830078125,0.46002197265625,0.00018310546875,0.03521728515625,0.26239013671875,0.0469970703125,0.06982421875,0.04486083984375,0.028564453125,0.02716064453125,0.01092529296875,0.0037841796875,0.00250244140625,0.0015869140625,0.001708984375,0.00164794921875,0.002685546875,0.4599609375,145.74646,106.44257,142.74713,106.589745,149.09521,100.08507
member_3,Mahe,neutral,Rotated (+15),0.1767578125,0.07318115234375,0.012451171875,0.012939453125,0.0255126953125,0.0543212890625,0.058349609375,0.030029296875,0.1229248046875,0.01263427734375,0.00347900390625,0.00250244140625,0.0020751953125,0.0015869140625,0.002197265625,0.4090576171875,0.01983642578125,0.22998046875,0.02606201171875,0.04632568359375,0.0682373046875,0.04180908203125,0.02557373046875,0.0179443359375,0.10479736328125,0.00225830078125,0.001220703125,0.0013427734375,0.0015869140625,0.00177001953125,0.00213623046875,0.40911865234375,0.0001220703125,0.01898193359375,0.23431396484375,0.04705810546875,0.06976318359375,0.04443359375,0.0284423828125,0.0225830078125,0.112060546875,0.00341796875,0.00250244140625,0.0013427734375,0.001708984375,0.001708984375,0.00250244140625,0.4090576171875,144.64331,99.6837,141.28595,100.22248,146.97778,94.23458
member_3,Mahe,neutral,Flipped (H),0.21917724609375,0.0748291015625,0.0126953125,0.0130615234375,0.02569580078125,0.0548095703125,0.062744140625,0.03033447265625,0.02203369140625,0.01263427734375,0.00335693359375,0.002685546875,0.0020751953125,0.0015869140625,0.0023193359375,0.4599609375,0.0321044921875,0.26153564453125,0.02618408203125,0.0469970703125,0.068603515625,0.04168701171875,0.02606201171875,0.02203369140625,0.0040283203125,0.0023193359375,0.00128173828125,0.00152587890625,0.0015869140625,0.00177001953125,0.00225830078125,0.46002197265625,0.00018310546875,0.03521728515625,0.26239013671875,0.0469970703125,0.06982421875,0.04486083984375,0.028564453125,0.02716064453125,0.01092529296875,0.0037841796875,0.00250244140625,0.0015869140625,0.001708984375,0.00164794921875,0.002685546875,0.4599609375,145.74646,106.44257,142.74713,106.589745,149.09521,100.08507
member_3,Mahe,neutral,Grayscale,0.029052734375,0.26226806640625,0.0196533203125,0.02716064453125,0.06494140625,0.0550537109375,0.032958984375,0.02777099609375,0.00933837890625,0.0029296875,0.00164794921875,0.0015869140625,0.00164794921875,0.001708984375,0.0023193359375,0.4599609375,0.029052734375,0.26226806640625,0.0196533203125,0.02716064453125,0.06494140625,0.0550537109375,0.032958984375,0.02777099609375,0.00933837890625,0.0029296875,0.00164794921875,0.0015869140625,0.00164794921875,0.001708984375,0.0023193359375,0.4599609375,0.029052734375,0.26226806640625,0.0196533203125,0.02716064453125,0.06494140625,0.0550537109375,0.032958984375,0.02777099609375,0.00933837890625,0.0029296875,0.00164794921875,0.0015869140625,0.00164794921875,0.001708984375,0.0023193359375,0.4599609375,144.36218,105.62456,144.36218,105.62456,144.36218,105.62456
